full_d	base_e	base_d	artikel_d	Sample sentence	Sample sentence Typing Corrects	pos	audio	s1	s2
die Türme	tower	Turm	der 	Vom Turm aus hat man eine gute Aussicht auf die Stadt.		noun	[sound:819bb4a4-0f36-569f-8bf7-2ad845c00f11.mp3]	Vom Turm aus hat man eine gute Aussicht auf die Stadt.	
	insane	wahnsinnig		Diese Unordnung macht mich wahnsinnig!		adj	[sound:0365a89e-1c65-5d7f-ba6d-3d63dc91b959.mp3]	Diese Unordnung macht mich wahnsinnig!	
schreibt vor; schrieb vor; hat vorgeschrieben	to tell sb to do sth	vorschreiben		Ich lasse mir von dir nicht vorschreiben, wie ich zu leben habe.		verb	[sound:0716c60d-bd73-57c5-b737-e4fc248c25df.mp3]	Ich lasse mir von dir nicht vorschreiben, wie ich zu leben habe.	
die Serien	series	Serie	die 	Die Serie von Einbrüchen im Stadtzentrum reißt nicht ab.		noun	[sound:4d46537d-2270-5b8e-b85e-d63ed086ff78.mp3]	Die Serie von Einbrüchen im Stadtzentrum reißt nicht ab.	
widerspricht; widersprach; hat widersprochen	to contradict	widersprechen		Das widerspricht meinen Grundsätzen.		verb	[sound:d19ecca0-6c47-5299-b82b-6b1dcb7e64eb.mp3]	Das widerspricht meinen Grundsätzen.	
	since then (not 'seitdem')	seither		Seither hat sich kaum etwas verändert.		adv	[sound:648059b2-1aa0-5fd6-97f5-1d3c9311bb63.mp3]	Seither hat sich kaum etwas verändert.	
die Protokolle	protocol, minutes, record	Protokoll	das 	Alle Beschlüsse werden im Protokoll festgehalten.		noun	[sound:b7abfb3b-2529-5bce-81a7-23ab761cb36e.mp3]	Alle Beschlüsse werden im Protokoll festgehalten.	
die Wenden	change (esp. the 1989-90 political change in the GDR)	Wende	die 	Nach der Wende kauften sie ihr altes Haus zurück.		noun	[sound:34f3aac8-651f-5bf5-980d-fed17c164d20.mp3]	Nach der Wende kauften sie ihr altes Haus zurück.	
verweigert; verweigerte; hat verweigert	to refuse (ver~)	verweigern		Der Angeklagte kann die Aussage verweigern.		verb	[sound:bdc2afaf-1b4d-59f7-8b79-7625bb7d9a69.mp3]	Der Angeklagte kann die Aussage verweigern.	
die Tees	tea	Tee	der 	Vorsicht, der Tee ist sehr heiß.		noun	[sound:280a2645-5a9d-5812-abc5-1da63224c13d.mp3]	Vorsicht, der Tee ist sehr heiß.	
verteidigt; verteidigte; hat verteidigt	to defend	verteidigen		Die Mannschaft verteidigte verbissen ihr Tor.			[sound:5671ddfb-b1a9-5274-87d4-666fee80129b.mp3]	Die Mannschaft verteidigte verbissen ihr Tor.	
holt ab; holte ab; hat abgeholt	to get, fetch, pick up	abholen		Wer kann heute die Kinder abholen?		verb	[sound:1538e4c1-e396-5dc5-9f07-f289d4f80735.mp3]	Wer kann heute die Kinder abholen?	
die Überzeugungen	conviction	Überzeugung	die 	Nach meiner Überzeugung ist das richtig.		noun	[sound:79673b0f-dc03-5b76-98d5-26434b2e0dea.mp3]	Nach meiner Überzeugung ist das richtig.	
geht weg; ging weg; ist weggegangen	to go away, leave	weggehen		Geh weg, ich kann dich nicht mehr sehen.		verb	[sound:310b8f00-e7b3-519d-a281-f3a9c6cd09e7.mp3]	Geh weg, ich kann dich nicht mehr sehen.	
	blind	blind		Das Mädchen ist auf einem Auge blind.		adj	[sound:6f1d0663-0f79-5181-956b-a5cc2505ae2f.mp3]	Das Mädchen ist auf einem Auge blind.	
die Dialoge	dialogue	Dialog	der 	Das Theaterstück enthält spannende Dialoge.		noun	[sound:94bf52e4-6afd-5920-a2be-b57c74bb3dd8.mp3]	Das Theaterstück enthält spannende Dialoge.	
	including	einschließlich		Der Preis beträgt einschließlich Flug, Übernachtung und Frühstück 250 Euro pro Person.		prep	[sound:0fc32b18-6c27-56a8-90c2-f79fb0667cfb.mp3]	Der Preis beträgt einschließlich Flug, Übernachtung und Frühstück 250 Euro pro Person.	
gleicht aus; glich aus; hat ausgeglichen	to even out, reconcile	ausgleichen		Die Aktie konnte ihre Verluste vom Vortag ausgleichen.		verb	[sound:7724d91d-6719-5ece-ac75-1cdbcf1c1fc0.mp3]	Die Aktie konnte ihre Verluste vom Vortag ausgleichen.	
schläft ein; schlief ein; ist eingeschlafen	to fall asleep	einschlafen		Babys schlafen gern an Mamas Brust ein.		verb	[sound:c875653b-95a8-53d2-a187-afc08d9bef4d.mp3]	Babys schlafen gern an Mamas Brust ein.	
einigt; einigte; hat geeinigt	to unite, agree (e~)	einigen		Es ist viel billiger, sich außergerichtlich zu einigen.		verb	[sound:ba70df9f-03b0-569e-805d-e168ceeb9a63.mp3]	Es ist viel billiger, sich außergerichtlich zu einigen.	
setzt auf; setzte auf; hat aufgesetzt	to put on (auf~)	aufsetzen		Die Verkäuferin setzte ihr freundlichstes Lächeln auf.		verb	[sound:5ef68d26-976d-5a5f-be99-85b56579927a.mp3]	Die Verkäuferin setzte ihr freundlichstes Lächeln auf.	
bricht auf; brach auf; ist aufgebrochen	to take off, break open (auf~)	aufbrechen		Der Dieb bricht das Schloss auf.		verb	[sound:6de3fa63-32a1-5347-b7cb-5c2bc0838c55.mp3]	Der Dieb bricht das Schloss auf.	
	extraordinary	außerordentlich		Das Theaterstück hat mir außerordentlich gut gefallen.		adj	[sound:90ba375d-bee8-577c-9e2c-24c6fe4df013.mp3]	Das Theaterstück hat mir außerordentlich gut gefallen.	
die Arbeitsmärkte	labour market	Arbeitsmarkt	der 	Die Lage am Arbeitsmarkt ist unverändert schlecht.		noun	[sound:d6cd2887-e643-5945-998e-6e13f1666e09.mp3]	Die Lage am Arbeitsmarkt ist unverändert schlecht.	
no plural	annoyance, trouble	Ärger	der 	Mit dem neuen Computer habe ich nur Ärger.	Im Norden der Stadt liegt der Zoo., Der Terrorismus fordert immer mehr zivile Opfer., In seiner Jugend genoss er eine strenge Erziehung., Dirk ist Soldat in der Bundeswehr., Struppi hat bei Mollers ein neues Zuhause gefunden., Italienisch ist eine romanische Sprache., Die Arbeitslosigkeit ist in Brandenburg besonders hoch., Die Bonbons schmecken wie die pure Chemie., Diese Pflanze braucht viel Licht und Pflege., Sei auf der Hut!, Nach zwanzig Jahren in Deutschland hat er sein Turkisch schon fast verlernt., Rauchen gefährdet die Gesundheit., Das Weltbild änderte sich in der Moderne grundlegend., Die Situation erfordert viel Mut., Der Geschaftsfuhrer fliegt immer Business Class., In Zukunft werde ich weniger rauchen., Zum Theologiestudium gehort es, Griechisch zu lernen., Mathematik ist eine Hilfswissenschaft fur alle Naturwissenschaften., Der Bedarf an Fernsehgeraten ist gedeckt., Die Opposition kritisiert das Vorgehen der Polizei gegen die Demonstranten., Struppi hat bei Möllers ein neues Zuhause gefunden., Ich hatte eine gluckliche Kindheit., Zum Theologiestudium gehört es, Griechisch zu lernen., Matrosen fahren zur See., Das Weltbild anderte sich in der Moderne grundlegend., Sprayflaschen muss man vor großer Hitze schützen., In der Mensa gibt es jeden Tag Fleisch., Zu Weihnachten lag leider kein Schnee., Nach zwanzig Jahren in Deutschland hat er sein Türkisch schon fast verlernt., Alle Welt spricht Englisch., Sprayflaschen muss man vor grosser Hitze schutzen., Alles Gute und viel Gluck zum Geburtstag!, Helge ist für das Marketing in der Firma zuständig., Was kommt heute im Fernsehen?, Mein Dank ist dir gewiss., Er mochte ein Jahr lang im Ausland studieren., Das Publikum applaudierte sehr lange., Nach dem Sturz verlor sie das Bewusstsein., Die Jugend von heute ist sehr mit sich selber beschäftigt., Rauchen gefahrdet die Gesundheit., Mathematik ist eine Hilfswissenschaft für alle Naturwissenschaften., Ab nachsten Monat konnen wir neues Personal einstellen., Ullas Trauer war sehr groß., Hast du Hunger?, Erwachsene brauchen ca. acht Stunden Schlaf pro Tag., Ullas Trauer war sehr gross., Das Vertrauen in die Sicherheit wurde nachhaltig gestört., Die Warme entweicht durch schlecht isolierte Fenster., Dieses Restaurant hat eine Vielzahl von Speisen im Angebot., Ihr Verhalten ist lobenswert., Im Fernsehen sieht man das Leid der Menschen in der dritten Welt., Im Osten geht die Sonne auf., Alles Gute und viel Glück zum Geburtstag!, Ein Jurist muss das BGB kennen., Ich hatte eine glückliche Kindheit., Mittwochs geht Steffi zum Tennis., Im Internet findest du bestimmt viele Informationen dazu., Das wirtschaftliche Wachstum lasst nach., Junge Eltern brauchen Ruhe und Erholung., erfährt viel über die Gegenwart., Es ist wichtig, Die Physik beschaftigt sich mit Vorgangen in der Natur., Blut ist rot., Der Geschäftsführer fliegt immer Business Class., Die Stasi war die Überwachungsinstanz der DDR., Die Wärme entweicht durch schlecht isolierte Fenster., Im Suden Deutschlands liegen die Alpen., Die Physik beschäftigt sich mit Vorgängen in der Natur., Jeder Kaufmann kann das HGB auswendig., Es ist nicht alles Gold, Der Anfang des 2 1 . Jahrhunderts stand ganz im Zeichen des Terrors., Nach dem Krieg begann die Rückkehr der Flüchtlinge., BSE kann auch auf den Menschen übertragen werden., Es ist wichtig, eine Vielfalt an Meinungen zu haben., Antina spricht ein wenig Japanisch., Eine hohe Anzahl von Jugendlichen sieht pessimistisch in die Zukunft., Ab nächsten Monat können wir neues Personal einstellen., BSE kann auch auf den Menschen ubertragen werden., Das Vertrauen in die Sicherheit wurde nachhaltig gestort., Der Bedarf an Fernsehgeräten ist gedeckt., Trinken wir auf eine erfolgreiche Zusammenarbeit!, Wer Geschichte lernt, erfährt viel über die Gegenwart., was glänzt., Wer Geschichte lernt, Der Tourismus ist in Österreich ein wichtiger Wirtschaftszweig., Es ist nicht alles Gold, was glänzt., Griechisch zu lernen., Im Süden Deutschlands liegen die Alpen., eine Vielfalt an Meinungen zu haben., Er möchte ein Jahr lang im Ausland studieren., Die Stadt macht einen Wandel durch., Helge ist fur das Marketing in der Firma zustandig., Der Verkehr stand durch die Demonstranten eine Stunde lang still., Im Mittelalter starben viele Menschen an Seuchen., Das Schweigen im Raum wurde unerträglich., Odol macht frischen Atem., Das Schweigen im Raum wurde unertraglich., Zum Theologiestudium gehört es, Klimawandel betrifft die ganze Menschheit., Zum Nachtisch nehmen wir noch ein Eis., Sein Russisch konnte er während eines Auslandsaufenthaltes in Moskau verbessern., Sein Russisch konnte er wahrend eines Auslandsaufenthaltes in Moskau verbessern., Die Jugend von heute ist sehr mit sich selber beschaftigt., Hol doch bitte die Post herein., Pettersson genoss die Stille., Es ist nicht alles Gold, was glanzt., Mit Alkohol sollte man sich nicht ans Steuer setzen., Im Westen ist die Arbeitslosigkeit niedriger als im Osten., Der Handel mit China boomt., Das wirtschaftliche Wachstum lässt nach., Das Wasser ist zu kalt zum Baden., Der Tourismus ist in Osterreich ein wichtiger Wirtschaftszweig., Nach dem Krieg begann die Ruckkehr der Fluchtlinge., Die Stasi war die Uberwachungsinstanz der DDR., Wer Geschichte lernt, erfahrt viel uber die Gegenwart.	noun	[sound:238b54f4-93f9-501f-8c3f-620b72dbeb29.mp3]	Mit dem neuen Computer habe ich nur Ärger.	
deutet an; deutete an; hat angedeutet	to suggest, indicate (an~)	andeuten		Wie der Name schon andeutet, findet der Musiksommer im Sommer statt.		verb	[sound:b15d168f-3bd2-589c-b532-0eb3dabf8513.mp3]	Wie der Name schon andeutet, findet der Musiksommer im Sommer statt.	
	independent (e~)	eigenständig		Die Aufgaben sind eigenständig zu erledigen.		adj	[sound:4f356237-8717-5355-8c66-a42eb944a669.mp3]	Die Aufgaben sind eigenständig zu erledigen.	
leitet ein; leitete ein; hat eingeleitet	to introduce (not 'einführen')	einleiten		Die Regierung leitet Reformen ein.		verb	[sound:9dd08247-0bfc-5c53-b9bf-b4b027e84338.mp3]	Die Regierung leitet Reformen ein.	
die Betreuungen	care (B~)	Betreuung	die 	Der Kindergarten bietet auch Betreuung in der Ferienzeit an.		noun	[sound:04e817d1-66a3-5aa5-9276-6e71ceffe607.mp3]	Der Kindergarten bietet auch Betreuung in der Ferienzeit an.	
no plural	BSE, mad cow disease	BSE		BSE kann auch auf den Menschen übertragen werden.	Im Norden der Stadt liegt der Zoo., Die Jugend der Welt trainiert fur Olympia., Der Terrorismus fordert immer mehr zivile Opfer., Nach der Schule geht er zum Militar., In seiner Jugend genoss er eine strenge Erziehung., Sein Russisch konnte er wahrend eines Auslandsaufenthaltes in Moskau verbessern., Dirk ist Soldat in der Bundeswehr., Struppi hat bei Mollers ein neues Zuhause gefunden., Wir haben einen Ruckgang der Zuschauerzahlen zu verzeichnen., Das Publikum applaudierte sehr lange., Die Arbeitslosigkeit ist in Brandenburg besonders hoch., Roman klapperte vor Furcht mit den Zahnen., Armut ist auch ein Problem von reichen Ländern., Nach der vielen Arbeit brauche ich jetzt ein wenig Erholung., Die Bonbons schmecken wie die pure Chemie., Diese Pflanze braucht viel Licht und Pflege., Sei auf der Hut!, Die Opposition kritisiert das Vorgehen der Polizei gegen die Demonstranten., Der Bedarf an Fernsehgeraten ist gedeckt., Vor dieser Leistung habe ich grossen Respekt., Nach zwanzig Jahren in Deutschland hat er sein Turkisch schon fast verlernt., Rauchen gefährdet die Gesundheit., Du bist im Unrecht., Die Situation erfordert viel Mut., Der Geschaftsfuhrer fliegt immer Business Class., Fortpflanzung dient zur Erhaltung der Art., In Deutschland fordert man den sportlichen Nachwuchs sehr., Angler brauchen sehr viel Geduld., erfährt viel über die Gegenwart., Zum Theologiestudium gehort es, Griechisch zu lernen., Mathematik ist eine Hilfswissenschaft fur alle Naturwissenschaften., Ich hatte eine gluckliche Kindheit., Das Weltbild änderte sich in der Moderne grundlegend., Struppi hat bei Möllers ein neues Zuhause gefunden., Judith lernt Polnisch und Tschechisch., Kriege provozieren Hass und Gewalt., Zum Theologiestudium gehört es, Griechisch zu lernen., Mary wird uns am Sonntag mit ihrer Anwesenheit beglucken., Matrosen fahren zur See., Die Gewerkschaften wollen die wochentliche Arbeitszeit reduzieren., Armut ist auch ein Problem von reichen Landern., Das Weltbild anderte sich in der Moderne grundlegend., Ingo studiert Germanistik in Leipzig., Sprayflaschen muss man vor großer Hitze schützen., Griechisch zu lernen., In der Mensa gibt es jeden Tag Fleisch., Zu Weihnachten lag leider kein Schnee., Es ist nicht alles Gold, Nach zwanzig Jahren in Deutschland hat er sein Türkisch schon fast verlernt., Vitaminmangel vermindert die Leistungsfähigkeit., Beim Autofahren ist viel Vorsicht geboten., Alle Welt spricht Englisch., Der Anfang des 2 1 . Jahrhunderts stand ganz im Zeichen des Terrors., Sprayflaschen muss man vor grosser Hitze schutzen., Alles Gute und viel Gluck zum Geburtstag!, Helge ist für das Marketing in der Firma zuständig., Ich fordere Ersatz für den entstandenen Schaden., Hol doch bitte die Post herein., Was kommt heute im Fernsehen?, Im Mittelalter starben viele Menschen an Seuchen., Er mochte ein Jahr lang im Ausland studieren., Italienisch ist eine romanische Sprache., Nach dem Sturz verlor sie das Bewusstsein., Vitaminmangel vermindert die Leistungsfahigkeit., Der Islam ist eine der grossen Weltreligionen., Christine hat im Oktober angefangen, Niederländisch zu lernen., Das Immunsystem ist für die Abwehr von Krankheiten zuständig., Die Jugend von heute ist sehr mit sich selber beschäftigt., Rauchen gefahrdet die Gesundheit., Mathematik ist eine Hilfswissenschaft für alle Naturwissenschaften., Ab nachsten Monat konnen wir neues Personal einstellen., Christine hat im Oktober angefangen, Niederlandisch zu lernen., Ullas Trauer war sehr groß., Die Stadt macht einen Wandel durch., Hast du Hunger?, Antina spricht ein wenig Japanisch., Die Butter steht im Kuhlschrank., Ullas Trauer war sehr gross., Das Vertrauen in die Sicherheit wurde nachhaltig gestört., Sie empfindet sehr viel Stolz fur ihre Kinder., Ihr Verhalten ist lobenswert., Ich freue mich uber die rege Teilnahme am Seminar., Der Kreativität sind keine Grenzen gesetzt., Im Fernsehen sieht man das Leid der Menschen in der dritten Welt., Im Osten geht die Sonne auf., Leider habe ich jetzt endgültig ihre Gunst verscherzt., Leider habe ich jetzt endgultig ihre Gunst verscherzt., Alles Gute und viel Glück zum Geburtstag!, Die Butter steht im Kühlschrank., Das Immunsystem ist fur die Abwehr von Krankheiten zustandig., Nach der Feier herrschte im Kinderzimmer ein einziges Chaos., Ein Jurist muss das BGB kennen., Ich lerne seit der 7. Klasse Franzosisch., Ich hatte eine glückliche Kindheit., Mittwochs geht Steffi zum Tennis., Im Internet findest du bestimmt viele Informationen dazu., Die Gewerkschaften wollen die wöchentliche Arbeitszeit reduzieren., Das wirtschaftliche Wachstum lasst nach., Junge Eltern brauchen Ruhe und Erholung., Der Kindergarten will die Selbstständigkeit der Kinder fördern., Das Müllauto macht morgens Lärm., Es ist wichtig, Die Physik beschaftigt sich mit Vorgangen in der Natur., Blut ist rot., Der Geschäftsführer fliegt immer Business Class., Die Stasi war die Überwachungsinstanz der DDR., Die Wärme entweicht durch schlecht isolierte Fenster., Im Suden Deutschlands liegen die Alpen., Die Physik beschäftigt sich mit Vorgängen in der Natur., Mit dem neuen Computer habe ich nur Arger., Kinder haben ein starkes Empfinden für Gerechtigkeit., Jeder Kaufmann kann das HGB auswendig., Der Vorschlag entbehrt jeder Vernunft., In Deutschland fördert man den sportlichen Nachwuchs sehr., Nach dem Krieg begann die Rückkehr der Flüchtlinge., Christine hat im Oktober angefangen, Es ist wichtig, eine Vielfalt an Meinungen zu haben., Erwachsene brauchen ca. acht Stunden Schlaf pro Tag., Das Schweigen im Raum wurde unertraglich., Eine hohe Anzahl von Jugendlichen sieht pessimistisch in die Zukunft., Kinder haben ein starkes Empfinden fur Gerechtigkeit., Ab nächsten Monat können wir neues Personal einstellen., Der Kindergarten will die Selbststandigkeit der Kinder fordern., Zur Bewerbung gehören der Lebenslauf, Vor dieser Leistung habe ich großen Respekt., Der Lehrer schenkt Marie keine Beachtung., Zur Bewerbung gehören der Lebenslauf, Zeugnisse und ein Gutachten eines Hochschullehrers., Nach der Schule geht er zum Militär., Der Bedarf an Fernsehgeräten ist gedeckt., Trinken wir auf eine erfolgreiche Zusammenarbeit!, Wer Geschichte lernt, erfährt viel über die Gegenwart., was glänzt., Wer Geschichte lernt, Nehmen wir ein Beispiel aus der Biologie., Der Tourismus ist in Österreich ein wichtiger Wirtschaftszweig., Niederländisch zu lernen., Mein Gepäck ist sehr schwer., Es ist nicht alles Gold, was glänzt., In Cola ist eine Menge Zucker., Spanisch ist die momentan beliebteste Fremdsprache der Deutschen., Im Süden Deutschlands liegen die Alpen., eine Vielfalt an Meinungen zu haben., Er möchte ein Jahr lang im Ausland studieren., Sie empfindet sehr viel Stolz für ihre Kinder., Helge ist fur das Marketing in der Firma zustandig., Der Verkehr stand durch die Demonstranten eine Stunde lang still., Carmen hört gern Jazz., Das kommt nicht in Betracht., Mein Dank ist dir gewiss., Das Schweigen im Raum wurde unerträglich., Odol macht frischen Atem., Das Vertrauen in die Sicherheit wurde nachhaltig gestort., Zum Theologiestudium gehört es, Sein Russisch konnte er während eines Auslandsaufenthaltes in Moskau verbessern., Der Kreativitat sind keine Grenzen gesetzt., Es gibt eine Fulle an Moglichkeiten., Der Islam ist eine der großen Weltreligionen., Klimawandel betrifft die ganze Menschheit., Zum Nachtisch nehmen wir noch ein Eis., Das wirtschaftliche Wachstum lässt nach., Diese Zuschauerquote entspricht einem Marktanteil von 30 Prozent., Mein Gepack ist sehr schwer., Viele Menschen drückten durch Spenden ihre Solidarität mit den Opfern aus., Nach dem Krieg begann die Ruckkehr der Fluchtlinge., Zeugnisse und ein Gutachten eines Hochschullehrers., Das Mullauto macht morgens Larm., Sprichst du Chinesisch?, Sie ist ganz rot vor Wut., Ich lerne seit der 7. Klasse Französisch., Die Jugend von heute ist sehr mit sich selber beschaftigt., Ich gehe nicht gern im Dunkeln nach Hause., In Zukunft werde ich weniger rauchen., Pettersson genoss die Stille., Ich fordere Ersatz fur den entstandenen Schaden., Es ist nicht alles Gold, was glanzt., Mary wird uns am Sonntag mit ihrer Anwesenheit beglücken., Mit Alkohol sollte man sich nicht ans Steuer setzen., Ich freue mich über die rege Teilnahme am Seminar., Es gibt eine Fülle an Möglichkeiten., Carmen hort gern Jazz., Im Westen ist die Arbeitslosigkeit niedriger als im Osten., Die Jugend der Welt trainiert für Olympia., Der Handel mit China boomt., Wer Geschichte lernt, erfahrt viel uber die Gegenwart., Die Warme entweicht durch schlecht isolierte Fenster., Viele Menschen druckten durch Spenden ihre Solidaritat mit den Opfern aus., Dieses Restaurant hat eine Vielzahl von Speisen im Angebot., Das Wasser ist zu kalt zum Baden., Der Tourismus ist in Osterreich ein wichtiger Wirtschaftszweig., Frederik hat in Deutsch eine Drei., Die Stasi war die Uberwachungsinstanz der DDR., Wir haben einen Rückgang der Zuschauerzahlen zu verzeichnen., Roman klapperte vor Furcht mit den Zähnen., Mit dem neuen Computer habe ich nur Ärger., Du redest Unsinn., Zur Bewerbung gehoren der Lebenslauf, Zeugnisse und ein Gutachten eines Hochschullehrers.	noun	[sound:03999022-240d-50aa-aa35-17e783267be5.mp3]	BSE kann auch auf den Menschen übertragen werden.	
die Bomben	bomb	Bombe	die 	Bei Bauarbeiten werden immer wieder Bomben aus dem Zweiten Weltkrieg gefunden.		noun	[sound:ff0dfaca-bb11-5665-b135-9e72b01a5a79.mp3]	Bei Bauarbeiten werden immer wieder Bomben aus dem Zweiten Weltkrieg gefunden.	
	in between (d~)	dazwischen		Dornröschen fiel in einen tiefen Schlaf. Der Prinz weckte sie auf. Dazwischen lagen hundert Jahre.		pron	[sound:2c50670d-ebc9-562e-b996-39da832342be.mp3]	Dornröschen fiel in einen tiefen Schlaf. Der Prinz weckte sie auf. Dazwischen lagen hundert Jahre.	
	detailed (a~)	ausführlich		Die Methode wird ausführlich beschrieben.		adj	[sound:c2041472-37a2-56e8-b508-d35f26fa1d12.mp3]	Die Methode wird ausführlich beschrieben.	
	excellent, perfect	ausgezeichnet		Das war ein ausgezeichnetes Essen.		adj	[sound:8e21ddff-1893-55be-8ada-5432832b7d30.mp3]	Das war ein ausgezeichnetes Essen.	
bringt an; brachte an; hat angebracht	to put up, install (an~)	anbringen		Hier darf man keine Plakate anbringen.		verb	[sound:3c962156-b5f6-5a16-8307-2bf3c40eba71.mp3]	Hier darf man keine Plakate anbringen.	
setzt ab; setzte ab; hat abgesetzt	to take off, dismiss (abs~)	absetzen		Vor dem Duschen setzt man besser die Brille ab.		verb	[sound:ca4c20c8-cd80-5a89-b15c-cd8465f44030.mp3]	Vor dem Duschen setzt man besser die Brille ab.	
die Austausche, Austäusche	exchange	Austausch	der 	Der Austausch der Batterien sollte nur vom Fachmann vorgenommen werden.		noun	[sound:f7d355ce-d9c3-5f3c-9c52-cddc8074f00c.mp3]	Der Austausch der Batterien sollte nur vom Fachmann vorgenommen werden.	
	conceivable	denkbar		Es ist auch denkbar, dass er sich anders entscheidet.		adj	[sound:48982dcb-4fab-5e87-a824-d5ecfa8a35da.mp3]	Es ist auch denkbar, dass er sich anders entscheidet.	
beantragt; beantragte; hat beantragt	to apply for (b~)	beantragen		Nach zehn Jahren muss man einen neuen Pass beantragen.		verb	[sound:8dd34d4e-0709-5a87-a2dd-072e3dd649fb.mp3]	Nach zehn Jahren muss man einen neuen Pass beantragen.	
