nichts, nix	nothing		Ich habe nichts gehört.		adv	[sound:c28e98b9-e494-512b-8eb8-0096d0e25782.mp3]
der Tag	day	die Tage	Sonntag ist der schönste Tag der Woche.		noun	[sound:5827fe2f-5bc8-545d-96b2-cca3fed94533.mp3]
den ganzen Tag	all day		Markus und Ravit haben den ganzen Tag in den Bergen verbracht.			[sound:49b45d45-5c4f-5134-8936-220f33996420.mp3]
zwischen	between		Das Buch liegt zwischen den Kissen.		prep	[sound:fbea97d4-6582-569c-9121-fb519845c18e.mp3]
sondern	but (on the contrary)		Wir fahren nicht nach Spanien, sondern nach Frankreich.		conj	[sound:8ae34537-eaa8-547a-821c-548dcfd56aa4.mp3]
klein	small, little		Ein kleines Auto passt in jede Parklücke.		adj	[sound:5332baf1-c7a3-5e03-9322-da2874a3e426.mp3]
mit den Kindern	with the children		Der Urlaub mit den Kindern war für alle ein Genuss.			[sound:a3578f01-add0-5221-a658-ab2d3113a7f9.mp3]
die Frau	woman, wife, Mrs.	die Frauen	Im Komitee waren nur vier Frauen.		noun	[sound:5b4d7623-055e-5de0-ac59-9300099a2ba9.mp3]
nun, nu	now (n~, short form)		Nun gehe ich nach Hause.		adv	[sound:ff2d8de1-db3c-5dc4-b1f2-907e4ada39f4.mp3]
etwas	something, some, a little		Hast du schon etwas von Markus gehört?		pron	[sound:6d0542a0-0ba9-5a53-8cc3-7092988b74fe.mp3]
das Kind	child	die Kinder	Unser Kind geht schon in den Kindergarten.		noun	[sound:f05feda4-d378-5fc1-9f4d-e75afa7b190e.mp3]
der Aspekt	aspect	die Aspekte	In der Vorlesung lernen wir verschiedene Aspekte von Sprache kennen.		noun	[sound:6be3fdda-13dc-5f90-81db-ec87e1141f3c.mp3]
Guten Tag!	good day!		Guten Tag, Frau Müller.			[sound:9612385e-6840-5e23-9144-d725f160bee8.mp3]
der Mensch	human being, man	die Menschen	Stammt der Mensch vom Affen ab?		noun	[sound:8f22ad53-735c-596c-b9b9-6be9d78fcdf0.mp3]
bleiben	to stay, remain (b~)	bleibt; blieb; ist geblieben	Du kannst bis morgen bleiben.		verb	[sound:ec44a7e6-68a1-5bb6-852a-9ce9a2e5eebd.mp3]
drei	three		Der Wolf will die drei kleinen Schweinchen fressen.		num	[sound:b6dde5e3-23ba-540b-8e2a-f781752683da.mp3]
gegen	against		Ich habe keine Chance gegen dich.		prep	[sound:83ade56a-ce0c-5b67-baae-54ed28990d39.mp3]
nein	no		Nein, ich fahre nicht weg.		part	[sound:49902468-82f4-5ff8-88d9-043440467a17.mp3]
weit	widely, far		Carla macht das Fenster weit auf.		adv	[sound:69a2dab6-33ee-561c-906a-2c57a13190e1.mp3]
heute	today		Heute ist ein schöner Tag.		adv	[sound:fac2c52d-da5d-5237-814a-ffc444ff0439.mp3]
hoch	high, tall		Der Brocken ist ein hoher Berg.		adj	[sound:77b6f430-2e1b-55d2-8850-ab0104a87c05.mp3]
welch	which		Welche Mannschaft hat gewonnen?		pron	[sound:561bf42e-2a86-576d-9b00-64bb5ee92f2c.mp3]
erst	first, only, not until		Erst die Arbeit, dann das Vergnügen.		adv	[sound:f9b813c2-66bb-5616-96a6-9d41bc5fb1e1.mp3]
einmal	once		Ich frage dich nur einmal.		adv	[sound:0d808631-13c6-5875-9801-03b7c6f2be22.mp3]
nehmen	to take	nimmt, nahm, hat genommen	Kannst du den Koffer nehmen?		verb	[sound:ffbe1877-a484-5898-bba3-9842abbc6cef.mp3]
ob	whether		Er weiß nicht, ob es möglich sein wird.		conj	[sound:71e27c72-92ba-51dc-a6c4-0902bc76e355.mp3]
dabei	with it, there (d~)		Ich möchte gern dabei sein.		pron	[sound:fc6a0088-1739-5d0a-aff8-a353437b995b.mp3]
beide	both		Sie haben beide Recht.		pron	[sound:ab54efff-ad6d-52c5-8ad0-954172dc2e65.mp3]
eben, ebend	just now (e~)		Ich habe eben eine E-Mail bekommen.		adv	[sound:9860f6ae-f134-511c-a7fa-f593cf0b5d0a.mp3]
der Mann	man	die Männer	Siehst du den Mann dort?		noun	[sound:5c2a5621-c988-5497-bac7-75537c2c5b78.mp3]
erst mal	first time		Darüber muss ich erst mal nachdenken.			[sound:5999dd31-34ea-5296-aa21-3f84044e0327.mp3]
heißen	to be called	heißt, hieß, hat geheißen	Sie heißt Anja.		verb	[sound:5a83152a-bc96-547f-8dd0-6fcaed7efcd8.mp3]
ohne...zu	without (conj.)		Ergeht, ohne etwas zu sagen.		conj	[sound:340cda44-c126-5673-b0db-f6b1dd636e02.mp3]
natürlich	1) naturally, of course; 2) natural		1 ) Natürlich interessiert mich deine Meinung. 2) Obst enthält natürliche Vitamine.		1) adv; 2) adj	[sound:5801391a-23d5-5a8f-ad57-33ca72f41cc2.mp3]
ohne	without		Ohne meine Handtasche gehe ich nicht aus dem Haus.		prep	[sound:e35096f7-3b93-5b9c-973f-9bc003319745.mp3]
einfach	1) simple, easy; 2) simply (e~)		1) Pudding kochen ist eine einfache Aufgabe. 2) Ich habe heute einfach keine Lust.		1) adj; 2) adv	[sound:fec677f7-79fc-57b5-bd98-98485ae6b82c.mp3]
liegen	to lie (e.g. in Bed)	liegt; lag; hat gelegen	Der Kranke liegt im Bett.		verb	[sound:b1ee38f1-f7d9-5dd7-b35c-3513329de0fa.mp3]
dort	there (long form)		Die Bushaltestelle ist dort drüben.		adv	[sound:7d886ae5-9bb1-55c3-b371-7ec3f2772836.mp3]
